id,listing_url,description
5570,https://www.airbnb.com/rooms/5570,"Missionbeachretreat.   Great Ocean Front Condo, right on the boardwalk.  We have many reviews on  website ""V"". This charming two bedroom beachfront condominium offers stunning ocean and sunset views from the living room, master bedroom, as well as the spacious outdoor balcony. This is the perfect setting for a romantic getaway or a family vacation. Strolls on the white sandy beach directly in front as well as limitless water sports are all just out your door. This middle  floor corner unit condo features a sun filled living room with  a  flat screen TV and comfortable seating for up to six guests. Guests will also enjoy the fully equipped kitchen and dining room with seating for 4. Guests staying in the finely appointed master bedroom will enjoy waking up every morning to sprawling and unobstructed white water views through the oversized bedroom windows. There is also a second guest bedroom with two twin beds and an inflatable queen size, aerobed for additional sleeping space. Addition"
8488,https://www.airbnb.com/rooms/8488,"Walk every where in San Diegos most charming and historic area! Close to downtown, balboa park, shopping and great food. Our home is over a hundred years old- so if you require a turn key hotel experience, this may not be the place for you! We hope you love the historic charm of this bungalow as much as we do. This is a small bungalow  around 1000 square feet with no AC but the San Diego breeze has kept us happy thus far. The kitchen and bathrooms are beautifully updated. Private craftsman home in the heart of Historic South Park San Diego, a bohemian walking paradise. A historical home built in 1913, this 2 bedroom, 1 bathroom has its own detached private office and bath in back yard for a total of 3 bedrooms. If you sit on our porch swing, often times a neighbor will come by with a glass of wine or a dog for you to pet.  One of the best features of the house is the awesome neighborhood of South Park. Right on our corner you'll find the fun Whistle Stop bar, delicious Italian restaura"
29967,https://www.airbnb.com/rooms/29967,"This 2 bedroom, 2 full bathroom home offers all the comforts you and your family need to enjoy a great San Diego experience.  Our property is equipped with a full kitchen, patio for BBQing and everything you need to enjoy the beach. This two bedroom (1 CA king bed, 1 queen bed), 2 full bathroom duplex is less than two blocks to beautiful Tourmaline Surf Beach. Our home also has a bonus room with comfortable Ikea day bed that converts to queen size. There is a queen size Aerobed with complete lines for additional guests.  Our home comes fully furnished with a large flat screen television with complimentary Netflix, full cable TV, DVD player, wireless internet, outdoor gas BBQ with a shared outdoor patio, hammock, fresh linens & towels, fully equipped kitchen, beach chairs/towels and cooler for your use. Complimentary use of the laundry room, washer & dryer, all detergents provided. The patio is great for dining or just relaxing in our hammock. Full laundry facilities. Located in a quiet"
38245,https://www.airbnb.com/rooms/38245,"Stay in a 1928 Spanish Style home.  Den is downstairs with a full-size bed.  Great location to travel from; downtown, the Gaslamp Quarter, & the beach, five minutes away!  Conference folks welcome!  ComiCon! Please note:  1928 home; remodeled in 2015. Come visit San Diego in the poet's neighborhood of Point Loma!  Excellent location to all areas, especially Downtown, Coronado, Ocean Beach, La Jolla, and North County Coastal.  Private downstairs den in a high-end, quaint neighborhood;  backyard patio is out from the den's  back door.  You may choose to relax in the dining room and kitchen nook.  NO stove or oven cooking here.  A car can be in front on street. ( Bicycle can stay on the patio. Three bike shops within one mile.) Den is downstairs;  bedrooms are upstairs, brand new Spanish period perfect, spectacular bathroom by the downstairs Den.   There is a brand new full size bed. Refrigerator available for some food.  NO stove or oven cooking here.   I will have tea, orange juice, and"
39516,https://www.airbnb.com/rooms/39516,"We love having explorers from all over the world to bring good energy into the art studio! If you are an experienced camper, you'll be so happy here. Please read every word of the description, especially if you are not a camper, we have a camper toilet, not a flush toilet. Someday, the world will not be able to sustain flushing drinking water into a sewer. The Art Studio has a light footprint on the earth! Runs on solar, has efficient heater,  induction plate, Southern windows. Nestled in South/North Park, a gentrified neighborhood, the Art Studio Retreat is on a quarter acre canyon lot which is lovingly maintained with lots of places to read and rest. It was designed for ""Green conscious"" travelers and ""glampers"" people who camp .If you are not a camper, read on very carefully.  Many guests have said that  ""the studio called to me"". And it does! It was handmade with a lot of love and good vibes, to be a healing & creative space. It is cozy, romantic and serene.  The rustic cabin is se"
52286,https://www.airbnb.com/rooms/52286,"The Surf Rider Condo is located directly on the ocean front in Mission Beach San Diego. The condo has it's own private patio as well as a common patio downstairs with a jacuzzi and gas BBQ grills. The Surf Rider will sleep up to six people on two queen beds and there is a futon in the living room. The master has it's own bathroom with another bathroom off the hall near the second bedroom. One reserved parking spot. Summer (May to Sept) requires a Sat-Sat stay. Three night minimum off season. IF YOU ARE LOOKING FOR LESS THAN A 7 NIGHT STAY PLEASE EMAIL ME. I MAY BE ABLE TO ACCOMMODATE! This newer, upstairs middle unit, ocean front condo is totally TOP OF THE LINE!! Luxuries include a Jacuzzi, large plasma screen TV with a DVD player, vaulted ceilings, fireplace, slate flooring throughout, granite counter tops in kitchen, travertine in both bathrooms, top of the line stainless steel appliances, Bosch dishwasher, and a front loading washer and dryer in the condo.  BUT WAIT THERE'S MORE!!"
54001,https://www.airbnb.com/rooms/54001,"The Peaceful is  one of two bedrooms in the detached cottage behind my main home, complete with  ceiling fan, two night stands, two table lamps, an overstuffed chair,  a T.V., a desk with chair, and a sitting room off  the bedroom.  The Peaceful enjoys a queen size bed with down comforter.  Sleep in confidence with  the complete protection of SureGuard Mattress-Box Spring-Pillow Encasements. Enjoy a self prep breakfast at our pre-set breakfast table which may include the following:  yogurt, fruit, orange juice, steel cut oats, muesli, almonds, sunflower seeds, craisins,  one of the famous and healthy Mestemacher bread options, jam, honey, cinnamon, bread spreads , half and half,  dairy substitutes, and when available organic brown eggs from happy  free-range organic hens.    Additional items avaiable  include tea,  self brewed  Mr. Coffee,  Keurig pods , Biialetti Moka. Perfect for vacationer, short or long term resident, UCSD's and Scripps academic and scientific communities, relocati"
62274,https://www.airbnb.com/rooms/62274,"Modern, cozy, artsy, European in lush garden setting I am offering a big room with private entrance. Our house is in a quiet residential area in pacific beach  with a beautiful garden, quiet and spacious. Everything in the home is modern, european style, artsy, open and light. The room is large, has a california king bed, a  desk, free wireless internet, airc onditioner and fan, a modern bathroom and a view of the garden.  The room has a little refrigerator. Your studio has direct access to the garden and roof top deck, with chairs and a view of the ocean and bay. The house is on a quiet street and with the bikes or electro scooter ( very cheap for rent all over PB ) you will have a beautiful 5 minute ride to one of the most beautiful beaches. We are close to Garnet Street, the main businesss street in Pacific Beach for shopping, restaurants and yoga classes. -Close to the ocean and Kate Sessions park  -close to Mount Soledad with a view over the entire San Diego area. -La Jolla is 5 m"
62949,https://www.airbnb.com/rooms/62949,"Wonderful Cozy Private Retreat. Included are use of beach cruisers, beach towels, chairs, cooler, blanket, everything you need to enjoy your vacation in beautiful Pacific Beach! 1.3 miles Parking is on street safe no limitations. Outside we have a  comfy wood bench to smoke or enjoy your coffee. Unit is set up like a hotel room. Fridge/coffee maker. Snacks, coffee, water provided. A/C in unit.  Amazon Fire Stick. I  will consider 1 dog under 20lbs but please contact me before booking to discuss. This unit is a wonderful cozy private little oasis! It is a completely separate and self contained unit. There are  hardwood floors, large shower,  No Tub Use, Brand new tuft and needle double bed. Hi Speed WiFi. Antique Japanese Chest holds Fridge and K -Cup coffee maker.  I provide coffee and teas, water,  some snacks and treats. There is air conditioning and a Heater. Wall mounted flat screen with Netlfix and Hulu access.  Blow Dryer and complimentary soaps, lotions and shampoos are provided"
67441,https://www.airbnb.com/rooms/67441,"This recently renovated apartment looks out to a beautifully landscaped backyard and the canyon beyond. Located to the east of the city, it provides ready access to all of San Diego without the hassle of crowded areas and parking shortages. Set on a quiet and lush canyon, who would ever guess that you were in a large urban city! Although it's southern California and a car is very handy, this apartment is close to good public transit, either by trolley from San Diego State University, or a 5 minute walk to a rapid bus service to the downtown. It is close to all major freeways for anyone coming to San Diego for the zoo, beaches,the desert, and Mexico. This self-contained apartment - with a bedroom, bathroom, living room and kitchen - occupies the ground floor of 4770 and has a separate and private entrance from 55th St. It looks out on a large and terraced backyard with a B-B-Q in which the travel weary can relax and ""chill"". It is the ideal deal for one traveler or a couple. Laundry fac"
